TIPO_DE_MASA,LUGAR,LAT,LONG,FECHA,arsénico total,coliformes fecales,dbo5,dqo,oxígeno,sólidos disueltos totales
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-02-19,22.0,220000.0,67.0,160.0,1.7000000000000002,522.0
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-04-24,18.666666666666668,220000.0,67.0,160.0,1.4333333333333336,522.0
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-07-16,11.0,280000.0,43.5,97.67766952966369,0.5000000000000004,458.5
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2024-10-16,12.0,280000.0,43.5,97.67766952966369,0.09999999999999964,458.5
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-03-19,12.0,280000.0,43.5,97.67766952966369,7.1,458.5
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-04-23,9.0,340000.0,20.0,35.35533905932737,0.39999999999999947,395.0
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-07-15,25.0,220000.0,67.0,160.0,1.7000000000000002,522.0
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-11-11,7.0,280000.0,43.5,97.67766952966369,2.3,458.5
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2026-03-03,6.0,280000.0,43.5,97.67766952966369,0.009999999999999787,458.5
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-03-06,14.0,32000.0,19.0,35.35533905932737,2.2,309.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-06-03,17.0,3800.0,9.0,35.35533905932737,0.8999999999999999,471.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-07-23,13.0,17900.00000000006,14.0,35.35533905932737,5.2,390.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2024-11-19,20.0,17900.00000000006,14.0,35.35533905932737,1.9,444.5
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-03-12,22.0,17900.00000000006,14.0,35.35533905932737,6.4,390.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-05-20,15.5,17900.00000000006,14.0,35.35533905932737,1.1,418.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-08-05,17.0,17900.00000000006,14.0,35.35533905932737,4.0,390.0
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-10-21,21.0,17900.00000000006,14.0,35.35533905932737,2.5,444.5
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2026-03-11,14.0,17900.00000000006,14.0,35.35533905932737,1.7999999999999998,363.5
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-02-20,16.0,250000.0,55.0,147.0,1.1,603.0
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-06-04,12.0,410000.0,47.0,100.0,0.2999999999999998,745.0
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-07-31,11.0,295000.0,32.5,83.5,0.5000000000000004,818.5
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2024-10-29,15.0,330000.0,51.0,123.5,1.1,674.0
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-03-11,12.0,330000.0,51.0,123.5,7.1,674.0
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-05-13,11.0,180000.00000000006,18.0,67.0,0.19999999999999973,892.0
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-07-30,13.0,295000.0,32.5,83.5,0.2999999999999998,818.5
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-10-15,12.0,295000.0,32.5,83.5,0.19999999999999973,818.5
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2026-02-25,2.82842712474619,295000.0,32.5,83.5,0.2999999999999998,818.5
arroyos,desembocadura arroyo ochoa,-34.5380007,-58.4571314,2024-12-11,14.0,,,,0.2999999999999998,
arroyos,desembocadura arroyo ochoa,-34.5380007,-58.4571314,2025-09-24,16.0,,,,0.19999999999999973,
arroyos,desembocadura arroyo pedriel,-34.5734826,-58.4141889,2024-12-11,5.0,,,,0.09999999999999964,
arroyos,desembocadura arroyo pedriel,-34.5734826,-58.4141889,2025-09-17,5.0,,,,1.4,
arroyos,desembocadura arroyo ugarteche,-34.6821214,-58.4427511,2024-10-15,11.0,,,,0.7000000000000002,
arroyos,desembocadura arroyo ugarteche,-34.6821214,-58.4427511,2025-08-27,6.0,,,,1.2000000000000002,
arroyos,desembocadura arroyo vega,-34.543106,-58.428187,2025-09-17,13.0,,,,0.09999999999999964,
arroyos,desembocadura arroyo white,-34.5385,-58.4357,2025-09-24,11.0,,,,8.2,
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2024-02-19,12.0,36000.0,77.0,138.0,4.9,324.0
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2024-04-24,5.0,110000.0,11.0,35.35533905932737,6.599999999999999,364.0
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2024-07-16,7.0,160000.0,23.0,35.35533905932737,6.3,357.5
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2024-10-16,7.0,123000.0,56.0,86.67766952966369,3.0,337.5
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2025-03-19,5.0,160000.0,23.0,35.35533905932737,7.1,357.5
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2025-04-23,5.0,210000.0,35.0,35.35533905932737,6.0,351.0
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2025-07-15,8.0,160000.0,23.0,35.35533905932737,6.4,357.5
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2025-11-11,10.0,160000.0,23.0,35.35533905932737,7.5,357.5
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2026-03-03,5.0,160000.0,23.0,35.35533905932737,3.34,357.5
arroyos,ingreso arroyo maldonado,-34.568729,-58.42083,2024-03-06,6.0,3900000.0000000005,18.0,35.35533905932737,3.5,289.0
arroyos,ingreso arroyo maldonado,-34.568729,-58.42083,2024-06-03,6.0,11000.0,7.0,35.35533905932737,5.1,362.0
arroyos,ingreso arroyo maldonado,-34.568729,-58.42083,2025-05-20,6.5,1955500.0,12.5,35.35533905932737,3.9,329.0
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2024-07-23,6.0,1955500.0,12.5,35.35533905932737,6.8,325.49999999999994
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2024-11-19,5.0,1955500.0,12.5,35.35533905932737,5.6,325.49999999999994
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2025-03-12,8.0,1955500.0,12.5,35.35533905932737,2.8,309.0
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2025-08-05,7.0,1955500.0,12.5,35.35533905932737,4.2,309.0
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2025-10-21,6.0,1955500.0,12.5,35.35533905932737,3.7,309.0
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2026-03-11,2.82842712474619,1955500.0,12.5,35.35533905932737,3.3,309.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2024-02-20,16.0,280000.0,163.0,204.0,1.1,658.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2024-06-04,10.0,230000.0,29.0,98.0,2.4,774.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2024-07-31,10.0,8614999.999999998,27.0,76.5,1.9,856.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2024-10-29,10.0,8614999.999999998,27.0,76.5,0.07071067811865461,856.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2025-03-11,11.0,8614999.999999998,27.0,76.5,0.2999999999999998,856.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2025-05-13,9.0,16999999.999999996,25.0,55.0,0.7000000000000002,938.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2025-07-30,11.0,8614999.999999998,27.0,76.5,0.8999999999999999,856.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2025-10-15,11.0,8614999.999999998,27.0,76.5,1.1,856.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2026-02-25,6.0,8614999.999999998,27.0,76.5,2.5,856.0
lagos,lago centenario,-34.606222,-58.435772,2024-03-18,10.0,1700.0,11.0,35.35533905932737,9.3,824.0
lagos,lago centenario,-34.606222,-58.435772,2025-06-24,17.0,,,,10.4,
lagos,lago lugano,-34.679461,-58.447579,2024-03-18,12.0,1700.0,11.0,35.35533905932737,9.75,824.0
lagos,lago lugano,-34.679461,-58.447579,2024-05-14,23.0,6900.0,7.0,51.0,10.7,953.0
lagos,lago lugano,-34.679461,-58.447579,2025-06-09,14.0,50.0,11.0,78.0,10.5,805.0
lagos,lago lugano,-34.679461,-58.447579,2024-08-27,2.82842712474619,875.0,11.0,56.67766952966369,7.9,814.5
lagos,lago lugano,-34.679461,-58.447579,2024-10-30,24.0,3475.0,9.0,64.5,8.1,879.0
lagos,lago lugano,-34.679461,-58.447579,2025-03-18,18.0,875.0,11.0,56.67766952966369,8.4,814.5
lagos,lago lugano,-34.679461,-58.447579,2025-08-26,12.0,875.0,11.0,56.67766952966369,10.3,814.5
lagos,lago lugano,-34.679461,-58.447579,2025-10-07,15.0,875.0,11.0,56.67766952966369,8.5,814.5
lagos,lago lugano,-34.679461,-58.447579,2026-02-02,13.0,875.0,11.0,56.67766952966369,5.8,814.5
lagos,lago planetario,-34.569175,-58.41056,2024-09-25,25.0,,,,8.7,
lagos,lago planetario,-34.569175,-58.41056,2025-07-22,24.0,,,,10.1,
lagos,lago planetario,-34.569175,-58.41056,2025-11-12,25.0,,,,7.7,
lagos,lago regatas,-34.557442,-58.433364,2024-09-25,2.82842712474619,,,,9.2,
lagos,lago regatas,-34.557442,-58.433364,2025-06-25,2.82842712474619,,,,11.3,
lagos,lago rosedal,-34.570324,-58.418725,2024-09-25,15.0,,,,9.3,
lagos,lago rosedal,-34.570324,-58.418725,2025-07-01,18.0,,,,11.7,
lagos,lago rosedal,-34.570324,-58.418725,2025-11-12,21.0,,,,8.2,
lagos,lago saavedra,-34.56727,-58.5073470000001,2024-09-18,13.0,,,,0.8999999999999999,
lagos,lago saavedra,-34.56727,-58.5073470000001,2025-07-22,13.0,,,,10.6,
lagos,lago soldati,-34.661886,-58.459898,2024-03-18,5.0,17000.0,16.0,64.0,7.9,596.0
lagos,lago soldati,-34.661886,-58.459898,2024-05-14,7.0,5800.0,8.0,64.0,10.5,533.0
lagos,lago soldati,-34.661886,-58.459898,2025-06-04,7.0,40000.0,23.0,79.0,0.7000000000000002,537.0
lagos,lago soldati,-34.661886,-58.459898,2024-08-27,19.0,11400.0,12.0,64.0,10.0,564.5
lagos,lago soldati,-34.661886,-58.459898,2024-10-22,5.0,11400.0,12.0,64.0,20.0,564.5
lagos,lago soldati,-34.661886,-58.459898,2025-03-18,5.0,11400.0,12.0,64.0,7.4,564.5
lagos,lago soldati,-34.661886,-58.459898,2025-07-30,6.0,28500.0,19.5,71.5,1.6,566.5
lagos,lago soldati,-34.661886,-58.459898,2025-08-26,5.0,28500.0,19.5,71.5,2.9,566.5
lagos,lago soldati,-34.661886,-58.459898,2025-09-30,16.0,11400.0,12.0,64.0,8.7,564.5
lagos,lago soldati,-34.661886,-58.459898,2026-02-02,2.82842712474619,11400.0,12.0,64.0,8.3,564.5
lagos,lago victoria ocampo,-34.573487,-58.4141889,2024-10-15,,,,,6.5,
lagos,lago victoria ocampo,-34.573487,-58.4141889,2025-07-22,,,,,10.2,
lagos,laguna los coipos,-34.613529,-58.356862,2024-09-18,2.82842712474619,,,,8.4,
lagos,laguna los coipos,-34.613529,-58.356862,2025-08-27,2.82842712474619,,,,9.5,
riachuelo,desembocadura,-34.637968,-58.356041,2024-01-09,9.0,34000.0,3.5355339059327378,35.35533905932737,0.019999999999999574,880.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-02-05,25.0,160000.0,17.0,64.0,2.3,1895.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-04-10,8.0,19000.0,10.0,35.35533905932737,3.6,379.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-06-26,12.0,3000.0,12.0,35.35533905932737,0.8999999999999999,438.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-07-17,21.0,81499.99999999994,14.5,49.67766952966369,0.7000000000000002,1166.5
riachuelo,desembocadura,-34.637968,-58.356041,2024-08-14,10.0,23000.0,10.0,35.35533905932737,3.3,365.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-09-11,11.0,18500.0,7.767766952966369,35.35533905932737,0.8999999999999999,659.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-10-02,19.0,81499.99999999994,14.5,49.67766952966369,0.8999999999999999,1166.5
riachuelo,desembocadura,-34.637968,-58.356041,2024-11-20,14.0,23000.0,10.0,35.35533905932737,4.9,365.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-12-04,19.0,93500.0,13.5,49.67766952966369,4.2,1123.0
riachuelo,desembocadura,-34.637968,-58.356041,2025-01-08,15.0,15000.0,11.0,35.35533905932737,2.7,394.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-02-18,7.0,23000.0,10.0,35.35533905932737,3.0,365.0
riachuelo,desembocadura,-34.637968,-58.356041,2025-03-26,13.0,15000.0,11.0,35.35533905932737,0.8999999999999999,394.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-04-22,11.0,18500.0,7.767766952966369,35.35533905932737,0.2999999999999998,659.0
riachuelo,desembocadura,-34.637968,-58.356041,2025-05-14,18.0,15000.0,11.0,35.35533905932737,0.19999999999999973,394.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-06-03,12.0,27000.0,10.0,35.35533905932737,2.2,351.0
riachuelo,desembocadura,-34.637968,-58.356041,2025-07-02,13.0,23000.0,10.0,35.35533905932737,3.6,365.0
riachuelo,desembocadura,-34.637968,-58.356041,2025-08-06,25.0,81499.99999999994,14.5,49.67766952966369,1.0,1166.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-09-03,15.0,15000.0,11.0,35.35533905932737,1.5,394.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-10-01,18.0,15000.0,11.0,35.35533905932737,2.3,394.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-11-11,25.0,81499.99999999994,14.5,49.67766952966369,1.1,1166.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-12-09,9.0,18500.0,7.767766952966369,35.35533905932737,1.2000000000000002,659.0
riachuelo,desembocadura,-34.637968,-58.356041,2026-01-14,15.0,15000.0,11.0,35.35533905932737,1.9,394.5
riachuelo,desembocadura,-34.637968,-58.356041,2026-02-18,19.0,81499.99999999994,14.5,49.67766952966369,1.0,1166.5
riachuelo,desembocadura,-34.637968,-58.356041,2026-03-04,6.0,18500.0,7.767766952966369,35.35533905932737,0.6000000000000001,659.0
riachuelo,desembocadura,-34.637968,-58.356041,2024-04-24,10.5,41256.0,6.767766952966367,35.35533905932737,1.1099999999999999,615.5
riachuelo,puente alsina,-34.659538,-58.416509,2024-01-09,21.0,360000.0,9.0,51.0,2.0,816.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-02-05,23.0,120000.0,18.0,71.0,2.6,1936.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-04-10,29.0,21000.0,14.0,35.35533905932737,2.2,885.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-06-26,22.0,14000.0,13.0,35.35533905932737,0.7000000000000002,690.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-07-17,23.0,240000.0,13.5,61.0,2.0,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-08-14,23.0,240000.0,13.5,61.0,1.9,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-09-11,24.0,240000.0,13.5,61.0,2.0,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-10-02,21.0,240000.0,13.5,61.0,3.0,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-11-20,18.0,240000.0,13.5,61.0,5.4,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2024-12-04,22.0,240000.0,13.5,61.0,2.0,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-01-08,24.0,240000.0,13.5,61.0,3.9,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-02-18,22.0,186999.99999999994,11.0,43.17766952966369,1.5,753.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-03-26,23.0,240000.0,13.5,61.0,1.7999999999999998,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-04-22,18.0,240000.0,13.5,61.0,2.1,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-05-14,22.0,240000.0,13.5,61.0,2.5,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-06-03,27.0,43000.0,12.0,35.35533905932737,0.8999999999999999,724.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-07-02,26.0,70500.0,16.0,53.17766952966369,3.1,1410.5
riachuelo,puente alsina,-34.659538,-58.416509,2025-08-06,28.0,32000.0,13.000000000000002,35.35533905932737,1.1,804.5
riachuelo,puente alsina,-34.659538,-58.416509,2025-09-03,16.0,240000.0,13.5,61.0,3.8,1376.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-10-01,27.0,32000.0,13.000000000000002,35.35533905932737,2.3,804.5
riachuelo,puente alsina,-34.659538,-58.416509,2025-11-11,26.0,28500.0,12.5,35.35533905932737,0.6000000000000001,707.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-12-09,26.0,32000.0,13.000000000000002,35.35533905932737,1.5,804.5
riachuelo,puente alsina,-34.659538,-58.416509,2026-01-14,22.0,186999.99999999994,11.0,43.17766952966369,1.0,753.0
riachuelo,puente alsina,-34.659538,-58.416509,2026-02-18,28.0,32000.0,13.000000000000002,35.35533905932737,1.7000000000000002,804.5
riachuelo,puente alsina,-34.659538,-58.416509,2026-03-04,14.0,186999.99999999994,11.0,43.17766952966369,1.6,753.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-01-09,20.0,240000.0,8.0,64.0,0.8999999999999999,847.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-02-05,21.0,150000.0,17.0,68.0,3.3,2039.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-04-10,29.0,11000.0,15.0,52.0,2.2,881.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-06-26,24.0,19999.99999999994,11.0,35.35533905932737,0.39999999999999947,843.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-07-17,28.0,45500.0,17.0,35.35533905932737,0.5000000000000004,775.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-08-14,26.0,45500.0,17.0,35.35533905932737,0.7999999999999998,775.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-09-11,29.0,41000.0,19.0,43.67766952966369,1.2000000000000002,794.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-10-02,27.0,41000.0,19.0,43.67766952966369,2.7,794.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-11-20,20.0,195000.0,12.5,66.0,3.7,1443.0
riachuelo,puente la noria,-34.705115,-58.46104,2024-12-04,25.0,45500.0,17.0,35.35533905932737,1.1,775.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-01-08,22.0,129999.99999999994,9.5,49.67766952966369,1.2999999999999998,845.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-02-18,22.0,155500.0,15.5,49.67766952966369,1.5,777.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-03-26,21.0,129999.99999999994,9.5,49.67766952966369,0.2999999999999998,845.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-04-22,16.0,195000.0,12.5,66.0,1.5,1443.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-05-14,22.0,129999.99999999994,9.5,49.67766952966369,0.6000000000000001,845.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-06-03,25.0,71000.0,23.0,35.35533905932737,1.4,707.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-07-02,32.0,41000.0,19.0,43.67766952966369,2.9,794.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-08-06,22.0,129999.99999999994,9.5,49.67766952966369,0.2999999999999998,845.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-09-03,14.0,195000.0,12.5,66.0,4.1,1443.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-10-01,33.0,41000.0,19.0,43.67766952966369,0.09999999999999964,794.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-11-11,30.0,41000.0,19.0,43.67766952966369,0.39999999999999947,794.0
riachuelo,puente la noria,-34.705115,-58.46104,2025-12-09,28.0,45500.0,17.0,35.35533905932737,0.39999999999999947,775.0
riachuelo,puente la noria,-34.705115,-58.46104,2026-01-14,19.0,129999.99999999994,9.5,49.67766952966369,0.19999999999999973,845.0
riachuelo,puente la noria,-34.705115,-58.46104,2026-02-18,31.0,41000.0,19.0,43.67766952966369,1.5,794.0
riachuelo,puente la noria,-34.705115,-58.46104,2026-03-04,12.0,195000.0,12.5,66.0,0.035355339059327306,1443.0
río de la plata,abanico              costanera norte,-34.32508,-58.25465,2025-06-11,7.0,4200.0,3.5355339059327378,35.35533905932737,9.6,940.0
río de la plata,abanico - costanera norte,-34.32508,-58.25465,2024-05-29,2.82842712474619,,,,8.3,
río de la plata,abanico - costanera norte,-34.32508,-58.25465,2024-09-04,2.82842712474619,,,,6.0,
río de la plata,abanico - costanera norte,-34.32508,-58.25465,2024-11-06,2.82842712474619,,,,7.9,
río de la plata,abanico - costanera norte,-34.32508,-58.25465,2025-03-05,5.0,,,,6.4,
río de la plata,abanico - costanera norte,-34.32508,-58.25465,2025-06-11,7.0,,,,9.6,
río de la plata,abanico - costanera norte,-34.32508,-58.25465,2025-09-10,4.0,,,,8.6,
río de la plata,abanico - costanera norte,-34.32508,-58.25465,2025-11-26,2.82842712474619,,,,6.4,
río de la plata,abanico - costanera norte,-34.32508,-58.25465,2026-03-10,2.82842712474619,,,,8.9,
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2024-05-29,2.82842712474619,4300.0,3.5355339059327378,35.35533905932737,7.2,144.0
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2024-09-04,5.0,3550.0,3.5355339059327378,35.35533905932737,3.0,275.00000000000006
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2024-11-06,2.82842712474619,3550.0,3.5355339059327378,35.35533905932737,8.3,275.00000000000006
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2025-03-05,2.82842712474619,3550.0,3.5355339059327378,35.35533905932737,5.7,275.00000000000006
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2025-06-11,7.0,2800.0,3.5355339059327378,35.35533905932737,10.0,406.0
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2025-09-10,7.0,3550.0,3.5355339059327378,35.35533905932737,8.9,275.00000000000006
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2025-11-26,2.82842712474619,3550.0,3.5355339059327378,35.35533905932737,6.0,275.00000000000006
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2026-03-10,2.82842712474619,3550.0,3.5355339059327378,35.35533905932737,9.0,275.00000000000006
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2024-05-29,2.82842712474619,1500.0,3.5355339059327378,35.35533905932737,6.8,178.00000000000006
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2024-09-04,5.0,1900.0,3.5355339059327378,35.35533905932737,3.5,274.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2024-11-06,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,7.799999999999999,274.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-03-05,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,5.9,274.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-06-11,6.0,2300.0,3.5355339059327378,35.35533905932737,9.5,370.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-09-10,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,8.4,274.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-11-26,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,6.7,274.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2026-03-10,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,7.7,274.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2024-05-29,2.82842712474619,1500.0,3.5355339059327378,35.35533905932737,5.3,163.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2024-09-04,5.0,1750.0,4.267766952966369,35.35533905932737,8.8,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2024-11-06,2.82842712474619,1750.0,4.267766952966369,35.35533905932737,8.4,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-03-05,5.0,1750.0,4.267766952966369,35.35533905932737,6.4,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-06-11,5.0,2000.0,5.0,35.35533905932737,10.2,349.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-09-10,2.82842712474619,1750.0,4.267766952966369,35.35533905932737,9.4,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-11-26,2.82842712474619,1750.0,4.267766952966369,35.35533905932737,7.5,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2026-03-10,2.82842712474619,1750.0,4.267766952966369,35.35533905932737,9.1,256.0
